idaItb16 trait type base estimate rel nDau nHerd edc label pubCode
CHEM120056249153 vzr P BV19 114.91 0.42 24 3 10.44 A Y
CHEM120056249153 nrr P BV19 116.53 0.43 24 3 10.44 A Y
CHEM120056249153 raz P BV19 93.61 0.6 20 3 40.8 A Y
CHEM120060946628 nrk P BV19 104.37 0.41 10 1 18.07 A Y
CHEM120060946628 vzk P BV19 103.55 0.44 10 1 17.08 A Y
CHEM120060946628 vzr P BV19 96.72 0.37 15 3 10.3 A Y
CHEM120060946628 nrr P BV19 101.69 0.38 15 3 10.29 A Y
CHEM120060946628 raz P BV19 99.61 0.49 10 1 16.98 A Y
CHEM120064292042 nrk P BV19 109.56 0.35 6 3 9.8 A Y
CHEM120064292042 vzk P BV19 109.42 0.37 6 3 9.42 A Y
CHEM120064292042 vzr P BV19 108.61 0.33 6 2 3.73 A Y
CHEM120064292042 nrr P BV19 107.7 0.33 6 2 3.73 A Y
CHEM120064292042 raz P BV19 100.16 0.41 6 3 9.39 A Y
CHEM120075861183 nrk P BV19 104.91 0.67 101 89 186.96 CH Y
CHEM120075861183 vzk P BV19 108.65 0.75 101 89 177.27 CH Y
CHEM120075861183 vzr P BV19 108.54 0.6 143 107 110.47 CH Y
CHEM120075861183 nrr P BV19 106.18 0.61 143 107 110.46 CH Y
CHEM120075861183 raz P BV19 103.05 0.82 101 89 176.46 CH Y
CHEM120109684825 nrk P BV19 98.5 0.21 0 0 0 A Y
CHEM120109684825 vzk P BV19 99.88 0.23 0 0 0 A Y
CHEM120109684825 vzr P BV19 91.79 0.2 2 1 1.43 A Y
CHEM120109684825 nrr P BV19 98.97 0.21 2 1 1.43 A Y
CHEM120109684825 raz P BV19 99.67 0.26 0 0 0 A Y
CHEM120109822852 nrk P BV19 104.9 0.3 2 1 1.76 A Y
CHEM120109822852 vzk P BV19 101.92 0.31 2 1 1.77 A Y
CHEM120109822852 vzr P BV19 98.05 0.27 2 1 1.6 A Y
CHEM120109822852 nrr P BV19 106.35 0.27 2 1 1.6 A Y
CHEM120109822852 raz P BV19 98.53 0.33 2 1 1.77 A Y
